2017-03-22 13:46:46,655 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:46,841 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,841 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,842 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:46,842 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,071 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,071 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,071 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,071 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,229 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,229 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,237 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,237 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,371 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,371 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,371 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,371 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,546 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,546 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:47,546 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:47,546 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
